Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
633e4a231232c3e826d6d7ea,60563ce2975183fc53db9f8a,APPROVED,2022-10-06T03:23:19.080000Z,2022-10-06T03:34:01.098000Z,2022-10-06T20:16:04.537000,2022-10-06T03:34:01.497201Z,643,7FEF15D8,115,1,99,White/Caucasian,32,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
633e4a35f3d5004ca815a742,5980128635fbf100017d0861,APPROVED,2022-10-06T03:24:12.733000Z,2022-10-06T03:37:10.589000Z,2022-10-06T20:16:04.649000,2022-10-06T03:37:10.985146Z,778,7FEF15D8,1185,7,99,White/Caucasian,35,Female,DATA_EXPIRED,"Venezuela, Bolivarian Republic of",United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
633e4bb7af6ebeb1bb4b8fdf,61033627c32742424aeaaac1,APPROVED,2022-10-06T03:30:02.658000Z,2022-10-06T03:38:58.555000Z,2022-10-06T20:16:04.765000,2022-10-06T03:38:58.936147Z,536,7FEF15D8,543,0,100,White/Caucasian,20,Female,White,United States,United States,United States,English,Yes,Part-Time
633e4cc9af6ebeb1bb4b8fe4,633e327052bcc8b44d6e0d2c,APPROVED,2022-10-06T03:34:50.246000Z,2022-10-06T03:45:50.280000Z,2022-10-06T20:16:09.550000,2022-10-06T03:45:50.665144Z,661,7FEF15D8,0,0,100,White/Caucasian,53,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
633e4d4f14af0663e2e268ae,588e8b95670d6600012bd8dc,APPROVED,2022-10-06T03:36:52.433000Z,2022-10-06T03:48:27.240000Z,2022-10-06T20:16:04.888000,2022-10-06T03:48:27.773192Z,695,7FEF15D8,970,0,100,White/Caucasian,55,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
633e4ec7e666d92cc60574e5,5fb053af8b511d40bea62b13,APPROVED,2022-10-06T03:43:08.385000Z,2022-10-06T03:57:34.401000Z,2022-10-06T20:16:09.663000,2022-10-06T03:57:34.941569Z,867,7FEF15D8,821,0,100,White/Caucasian,28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
633e4f009234a1b44dd6d7d7,5d51444f292b750001583e28,APPROVED,2022-10-06T03:44:02.379000Z,2022-10-06T03:57:18.330000Z,2022-10-06T20:16:09.765000,2022-10-06T03:57:18.693797Z,796,7FEF15D8,1195,3,100,White/Caucasian,26,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
633e4fa81158c624faa9dcaa,6296290ec41bde1525dbb77e,APPROVED,2022-10-06T03:46:50.707000Z,2022-10-06T03:56:04.635000Z,2022-10-06T20:16:09.879000,2022-10-06T03:56:05.028741Z,554,7FEF15D8,1,0,100,White/Caucasian,36,Male,White,United States,United States,United States,English,No,Full-Time
633e51265f21552b338c7f72,631c9b4575c32ac5a7c51704,APPROVED,2022-10-06T03:53:13.256000Z,2022-10-06T04:03:51.356000Z,2022-10-06T20:16:09.984000,2022-10-06T04:03:51.739555Z,639,7FEF15D8,36,0,100,White/Caucasian,26,Male,White,United States,United States,United States,English,Yes,Full-Time
633e52f0e666d92cc60574f4,6157c14b90d4bd353a34edc7,APPROVED,2022-10-06T04:00:52.784000Z,2022-10-06T04:16:46.824000Z,2022-10-06T20:16:05.019000,2022-10-06T04:16:47.492045Z,955,7FEF15D8,1165,6,100,White/Caucasian,46,Female,White,United States,United States,United States,English,No,Full-Time
6345f36c759c3428cbeb2db2,60b086e07a56549b8b182f8a,AWAITING REVIEW,2022-10-11T22:53:19.990000Z,2022-10-11T23:07:14.909000Z,,2022-10-11T23:07:15.272241Z,835,7FEF15D8,113,1,100,White/Caucasian,35,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6345f4638ad0a8b2bda1aec9,61010cf76dbeae43033e1729,AWAITING REVIEW,2022-10-11T22:55:46.160000Z,2022-10-11T23:07:08.271000Z,,2022-10-11T23:07:08.654200Z,683,7FEF15D8,35,0,100,White/Caucasian,26,Female,White,United States,United States,United States,English,Yes,Due to start a new job within the next month
6345f74d42b9f0e9071ec3f0,58b0b2f5b3ae2f0001d34325,AWAITING REVIEW,2022-10-11T23:08:01.087000Z,2022-10-11T23:19:46.252000Z,,2022-10-11T23:19:46.784124Z,706,7FEF15D8,1253,3,100,White/Caucasian,54,Female,White,United States,United States,United States,English,No,Full-Time
6345f9688c2cdb64a0a56e4a,5ec189f03d870d5ba617fcc4,AWAITING REVIEW,2022-10-11T23:16:59.862000Z,2022-10-11T23:27:15.077000Z,,2022-10-11T23:27:15.461321Z,616,7FEF15D8,1792,3,100,White/Caucasian,39,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6345f9800576d704e2f13a06,5bc5fe53a7b320000113c150,AWAITING REVIEW,2022-10-11T23:17:28.719000Z,2022-10-11T23:30:08.245000Z,,2022-10-11T23:30:08.611037Z,760,7FEF15D8,278,0,100,White/Caucasian,23,Male,White,United States,United States,United States,English,No,Part-Time
6345f9af02525bd18239a200,5c7ca78cc872f300014708c9,AWAITING REVIEW,2022-10-11T23:18:09.499000Z,2022-10-11T23:26:38.684000Z,,2022-10-11T23:26:39.104736Z,510,7FEF15D8,559,3,99,White/Caucasian,28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6345fae23db4dac0fe79e5d2,609ff2252bb6d706ce84b01a,AWAITING REVIEW,2022-10-11T23:23:19.527000Z,2022-10-11T23:38:27.725000Z,,2022-10-11T23:38:28.111668Z,909,7FEF15D8,299,4,99,White/Caucasian,34,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6345fdfa585ea58200a51537,5ffdf62d9169a23d1edaceab,AWAITING REVIEW,2022-10-11T23:36:26.210000Z,2022-10-11T23:51:04.256000Z,,2022-10-11T23:51:04.664527Z,879,7FEF15D8,1489,1,100,White/Caucasian,37,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6345fe38ce402515a2a1aede,5e683c4d6ca0f9000d3f35fe,AWAITING REVIEW,2022-10-11T23:37:32.467000Z,2022-10-11T23:48:06.325000Z,,2022-10-11T23:48:06.650346Z,634,7FEF15D8,2771,7,100,White/Caucasian,34,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6346039c0ecb1891f030e9aa,5af7094225561e00013acd70,AWAITING REVIEW,2022-10-12T00:00:28.984000Z,2022-10-12T00:11:43.526000Z,,2022-10-12T00:11:44.234993Z,675,7FEF15D8,453,1,100,White/Caucasian,34,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
