id,muct_id,lighting,race_guess,gender_guess,quality,quality_eyes,quality_mouth,quality_ears,quality_hair,quality_neck,facial_hair,notes
1,1,q,b,m,3,3,3,3,3,3,1,
2,2,r,w,m,3,3,3,3,3,3,2,eyes
3,3,s,i,w,2,3,3,3,2,3,0,hair
4,4,q,b,m,3,3,3,3,3,3,2,
5,5,q,b,w,3,3,3,3,3,3,0,hat
6,6,r,u,m,3,3,3,3,3,3,3,mustache
7,7,s,u,w,3,3,3,3,3,3,0,
8,8,r,i,m,3,3,3,3,3,3,1,
9,9,r,i,m,3,3,3,3,3,3,2,
10,10,q,i,m,3,3,3,3,3,3,2,
11,11,q,i,m,3,3,3,3,3,3,1,
12,12,q,i,m,3,3,3,3,3,3,2,
13,14,q,w,w,3,3,3,3,3,3,0,
14,15,s,i,m,3,3,3,3,3,3,2,
15,16,s,i,m,3,3,3,3,3,3,2,
16,18,q,b,w,3,3,3,3,3,3,0,earrings
17,19,r,w,w,3,3,3,3,3,3,0,
18,21,q,w,w,3,3,3,3,3,3,0,
19,23,q,b,u,3,3,3,3,3,3,0,
20,24,q,b,w,3,3,3,3,3,3,0,
21,25,r,b,m,3,3,3,3,3,3,2,
22,26,q,b,w,3,3,3,3,3,3,0,earrings
23,27,q,u,m,3,3,3,3,3,3,0,
24,31,q,u,w,3,3,3,3,3,3,0,
25,32,q,u,w,2,3,3,3,2,3,0,hair
26,35,r,u,m,3,3,3,3,3,3,4,
27,37,q,b,w,3,3,3,3,3,3,0,earrings
28,38,q,b,m,3,3,3,3,3,3,2,
29,39,r,w,w,3,3,3,3,3,3,0,earrings hair
30,41,r,b,m,3,3,3,3,3,3,0,
31,42,q,u,w,2,3,3,2,3,3,0,mouth
32,43,q,w,m,3,3,3,3,3,3,0,
33,44,q,u,m,3,3,3,3,3,3,2,
34,45,q,w,m,3,3,3,3,3,3,0,
35,46,q,b,w,3,3,3,3,3,3,0,earrings
36,47,q,b,u,3,3,3,3,3,3,0,
37,48,w,w,m,3,3,3,3,3,3,0,
38,49,q,u,m,3,3,3,3,3,3,0,
39,52,q,w,m,3,3,3,3,3,3,0,
40,55,r,b,m,3,3,3,3,3,3,3,beard
41,56,q,w,m,3,3,3,3,3,3,0,
42,57,r,b,w,3,3,3,3,3,3,0,earrings
43,58,q,w,m,3,3,3,3,3,3,0,
44,60,s,u,m,3,3,3,3,3,3,1,
45,61,r,u,w,3,3,3,3,3,3,0,
46,63,q,i,w,3,3,3,3,3,3,0,
47,64,q,w,m,3,3,3,3,3,3,0,
48,65,q,u,w,3,3,3,3,3,3,0,earrings
49,66,r,w,m,3,3,3,3,3,3,0,
50,70,r,w,m,3,3,3,3,3,3,4,beard
51,74,q,w,w,3,3,3,3,3,3,0,
52,75,q,w,m,3,3,3,3,3,3,4,beard
53,79,r,i,m,2,2,3,3,2,3,0,
54,80,s,b,w,3,3,3,3,3,3,0,earrings
55,81,q,b,m,3,3,3,3,3,3,0,
56,82,q,b,m,3,3,3,3,3,3,1,
57,83,r,b,m,3,3,3,3,3,3,3,
58,84,q,b,m,2,2,3,3,3,3,3,beard
59,86,q,b,w,3,3,3,3,3,3,0,earrings
60,88,q,b,w,3,3,3,3,3,3,0,earrings
61,89,r,w,m,3,3,3,3,3,3,2,
62,62,q,u,w,3,3,3,3,3,3,0,
63,203,u,i,m,2,2,3,3,3,3,2,mouth
64,204,t,b,m,3,3,3,3,3,3,1,
65,206,t,b,m,3,3,3,3,3,3,1,
66,207,v,u,w,2,3,3,2,3,3,0,
67,209,t,i,w,3,3,3,3,3,3,0,earrings
68,213,u,b,w,3,3,3,3,3,3,0,
69,218,t,b,w,3,3,3,3,3,3,0,
70,219,t,i,m,3,3,3,3,3,3,4,
71,223,u,i,m,3,3,3,3,3,3,2,mole
72,224,t,u,m,3,3,3,3,3,3,0,smile
73,225,u,w,m,3,3,3,3,3,3,2,
74,229,t,w,m,3,3,3,3,3,3,2,mouth
75,231,v,u,m,3,3,3,3,3,3,3,beard
76,233,u,w,w,3,3,3,3,3,3,0,earrings
77,235,u,b,w,3,3,3,3,3,3,0,earrings
78,238,t,u,m,3,3,3,3,3,3,2,
79,239,t,u,m,3,3,3,3,3,3,2,hair
80,240,u,w,m,3,3,3,3,3,3,0,mouth
81,241,t,u,m,3,3,3,3,3,3,1,mouth
82,242,t,i,m,3,3,3,3,3,3,4,
83,243,v,b,m,3,3,3,3,3,3,0,
84,248,u,w,w,3,3,3,3,3,3,0,
85,249,t,b,w,2,2,3,3,3,3,0,
86,250,t,b,m,3,3,3,3,3,3,1,
87,251,v,i,m,3,3,3,3,3,3,4,
88,252,t,w,w,3,3,3,3,3,3,0,hair
89,255,t,w,m,3,3,3,3,3,3,2,
90,259,v,b,m,3,3,3,3,3,3,2,
91,260,t,b,m,3,3,3,3,3,3,4,beard
92,261,v,w,m,2,2,3,3,3,3,0,
93,263,u,w,m,3,3,3,3,3,3,2,
94,264,t,w,m,3,3,3,3,3,3,0,
95,267,t,i,m,3,3,3,3,3,3,2,
96,268,t,i,m,3,3,3,3,3,3,2,earring
97,269,u,b,m,3,3,3,3,3,3,0,
98,274,t,b,m,3,3,3,3,3,3,4,
99,278,t,w,m,3,3,3,3,3,3,0,
100,280,u,w,m,3,3,3,3,3,3,0,
101,281,t,w,w,3,3,3,3,3,3,0,
102,283,t,i,w,3,3,3,3,3,3,0,pottu
103,285,v,b,w,3,3,3,3,3,3,0,earrings
104,287,t,w,m,3,3,3,3,3,3,2,
105,290,t,b,m,3,3,3,3,3,3,2,
106,293,u,i,w,3,3,3,3,3,3,0,hair
107,297,t,b,m,3,3,3,3,3,3,4,beard
108,300,u,u,w,3,3,3,3,3,3,0,
109,401,w,w,w,3,3,3,3,3,3,0,mouth
110,403,x,b,w,3,3,3,3,3,3,0,earrings
111,405,w,b,w,3,3,3,3,3,3,0,hair earrings
112,406,w,b,m,3,3,3,3,3,3,1,
113,407,x,u,m,3,3,3,3,3,3,3,beard
114,410,w,w,w,3,3,3,3,3,3,0,makeup mouth
115,412,x,w,m,3,3,3,3,3,3,0,
116,414,w,w,m,3,3,3,3,3,3,0,
117,417,w,b,m,3,3,3,3,3,3,1,mouth
118,419,x,b,m,3,3,3,3,3,3,1,
119,420,w,b,m,3,3,3,3,3,3,0,
120,421,x,b,w,3,3,3,3,3,3,0,
121,423,w,b,m,3,3,3,3,3,3,1,
122,425,x,b,m,3,3,3,3,3,3,2,
123,76,q,w,w,2,2,3,2,2,3,0,hair
124,431,x,b,u,3,3,3,3,3,3,0,mouth
125,433,x,w,w,3,3,3,3,3,3,0,
126,434,w,b,w,3,3,3,3,3,3,0,earrings
127,435,x,b,w,3,3,3,3,3,3,0,bandana
128,436,w,b,m,3,3,3,3,3,3,3,beard
129,438,x,u,m,3,3,3,3,3,3,2,mouth
130,441,x,i,w,3,3,3,3,3,3,0,
131,442,x,w,m,3,3,3,3,3,3,2,
132,450,w,b,m,3,3,3,3,3,3,4,mouth
133,601,y,b,w,3,3,3,3,3,3,0,mouth
134,602,y,u,m,3,3,3,3,3,3,0,one of few east asian
135,612,y,u,w,3,3,3,3,3,3,0,mouth
136,616,y,b,w,3,3,3,3,3,3,0,earrings
137,617,y,b,w,3,3,3,3,3,3,0,mouth
138,621,y,u,w,2,3,3,2,3,3,0,"mouth, one of few east asian"
139,623,y,b,m,3,3,3,3,3,3,1,mouth
140,624,y,b,w,3,3,3,3,3,3,0,"headband, earring"
141,77,s,w,w,3,3,3,3,3,3,0,
142,87,r,b,w,3,3,3,3,3,3,0,earrings hair
143,90,q,u,m,2,3,3,2,3,3,4,beard
144,214,u,b,w,2,2,3,3,3,3,0,
145,230,u,w,m,3,3,3,3,3,3,0,hair
146,254,v,w,m,2,2,3,3,2,3,0,hair
147,270,t,u,m,3,3,3,3,3,3,2,hair
148,415,w,w,w,3,3,3,3,3,3,0,
149,416,w,w,m,3,3,3,3,3,3,2,
150,422,w,u,w,3,3,3,3,3,3,0,mouth
151,444,w,w,w,3,3,3,3,3,3,0,
152,446,w,w,w,3,3,3,3,3,3,0,
153,437,x,w,w,3,3,3,3,3,3,0,hair
154,449,x,u,w,3,3,3,3,3,3,0,hijab mouth
155,615,z,w,w,3,3,3,3,3,3,0,earrings
156,258,u,w,m,2,3,3,3,2,3,0,hair